wavelength_A,normalized_intensity
4456.00,0.5984
4457.00,0.5972
4458.00,0.6315
4459.00,0.6554
4460.00,0.6622
4461.00,0.6965
4462.00,0.7450
4463.00,0.8142
4464.00,0.8338
4465.00,0.8357
4466.00,0.8449
4467.00,0.8663
4468.00,0.8804
4469.00,0.8964
4470.00,0.9246
4471.00,0.9344
4472.00,0.9418
4473.00,0.9411
4474.00,0.9497
4475.00,0.9454
4476.00,0.9593
4477.00,0.9834
4478.00,0.9565
4479.00,0.9270
4480.00,0.8780
4481.00,0.8437
4482.00,0.8437
4483.00,0.8970
4484.00,0.9663
4485.00,0.9712
4486.00,0.9614
4487.00,0.9418
4488.00,0.9295
4489.00,0.9172
4490.00,0.9115
4491.00,0.9270
4492.00,0.9172
4493.00,0.8976
4494.00,0.8633
4495.00,0.8633
4496.00,0.8878
4497.00,0.9160
4498.00,0.9687
4499.00,0.9859
4500.00,1.0000
