"wavelength_A","o5","a1","a5","b0","b6","f0","f5","g0","k0","k5","m0","m5"
3999,0.843,0.9092,0.9263,0.8667,0.9302,0.9353,0.8797,0.8818,0.6789,0.4959,0.3678,0.4675
4000,0.8399,0.91,0.9367,0.8606,0.9407,0.9618,0.8922,0.8929,0.7016,0.5104,0.3882,0.4698
4001,0.843,0.9159,0.9305,0.8549,0.9493,0.9592,0.9082,0.9032,0.6968,0.5184,0.3948,0.4722
4002,0.843,0.9235,0.9222,0.8422,0.9464,0.9643,0.9048,0.8975,0.6809,0.5143,0.3971,0.4788
4003,0.8442,0.9151,0.9106,0.8337,0.9407,0.9452,0.8912,0.8882,0.6596,0.5071,0.3993,0.4871
4004,0.8468,0.905,0.9031,0.8328,0.9426,0.926,0.8639,0.8744,0.6489,0.4806,0.3918,0.496
4005,0.8491,0.9218,0.9089,0.8375,0.9458,0.9286,0.8537,0.8563,0.6676,0.4571,0.3873,0.5056
4006,0.8522,0.9622,0.9222,0.8415,0.9484,0.926,0.8724,0.8514,0.6862,0.449,0.3708,0.514
4007,0.8546,0.9839,0.9362,0.8463,0.9529,0.9442,0.8771,0.8514,0.7102,0.4461,0.3686,0.5267
4008,0.8559,0.979,0.9503,0.8489,0.957,0.9834,0.9048,0.8723,0.734,0.4735,0.3851,0.5468
4009,0.8512,0.9521,0.9578,0.8472,0.9627,1,0.9184,0.8908,0.742,0.4918,0.3948,0.5618
4010,0.8457,0.9372,0.957,0.8481,0.957,0.9809,0.9286,0.9077,0.7445,0.4847,0.4102,0.5543
4011,0.8468,0.9393,0.9545,0.8498,0.9455,0.9694,0.9337,0.92,0.7425,0.4837,0.4172,0.5496
4012,0.8464,0.9529,0.9574,0.8582,0.946,0.9595,0.9362,0.9251,0.7422,0.498,0.4288,0.5506
4013,0.8451,0.9592,0.9586,0.8612,0.9472,0.9601,0.9294,0.9322,0.739,0.5367,0.4309,0.5455
4014,0.8446,0.9683,0.9605,0.8654,0.9481,0.9536,0.9204,0.9398,0.7319,0.5563,0.4288,0.5305
4015,0.8515,0.9811,0.9611,0.8743,0.9455,0.9636,0.9133,0.9527,0.7154,0.5633,0.4175,0.5129
4016,0.8613,0.9874,0.9752,0.8599,0.9395,0.9662,0.9174,0.9606,0.7128,0.5643,0.4002,0.5061
4017,0.8687,0.9874,0.9901,0.8345,0.9335,0.9758,0.926,0.9656,0.7241,0.5541,0.3873,0.5192
4018,0.8701,0.9807,1,0.821,0.9287,0.9809,0.9347,0.9685,0.7314,0.5429,0.3813,0.5215
4019,0.8667,0.9857,0.9959,0.8138,0.9206,0.9812,0.9358,0.9691,0.7367,0.5327,0.3693,0.5187
4020,0.8606,0.9925,0.9917,0.8036,0.9053,0.9785,0.9324,0.9688,0.7367,0.5245,0.3618,0.4906
4021,0.8518,1,0.9856,0.8023,0.9084,0.9776,0.9329,0.9652,0.7366,0.5141,0.3673,0.4816
4022,0.8336,0.9857,0.9768,0.7761,0.9082,0.9751,0.932,0.96,0.7394,0.5082,0.3813,0.4757
4023,0.8163,0.9731,0.9636,0.7575,0.9163,0.9732,0.9235,0.9578,0.742,0.5082,0.3858,0.4785
4024,0.8038,0.974,0.957,0.7414,0.9249,0.9726,0.9252,0.9617,0.7573,0.5204,0.3888,0.4757
4025,0.793,0.9723,0.9603,0.7381,0.9324,0.9751,0.9379,0.9628,0.7626,0.5276,0.4083,0.471
4026,0.7848,0.9622,0.9685,0.7431,0.9378,0.9767,0.9286,0.9628,0.7527,0.5207,0.4143,0.4588
4027,0.7825,0.9538,0.9785,0.7538,0.9378,0.9796,0.9184,0.9583,0.7088,0.5128,0.4053,0.4607
4028,0.7903,0.956,0.9744,0.7659,0.9354,0.9679,0.9368,0.9531,0.6773,0.5035,0.372,0.4567
4029,0.7959,0.9521,0.9586,0.7774,0.9302,0.9541,0.9065,0.9392,0.6503,0.4939,0.3243,0.4287
4030,0.8012,0.942,0.9454,0.7878,0.9273,0.9311,0.8588,0.9099,0.6277,0.4663,0.2942,0.4047
4031,0.8065,0.9286,0.9396,0.7971,0.9273,0.9196,0.8537,0.8851,0.6117,0.4306,0.3002,0.3858
4032,0.8065,0.9269,0.9421,0.8047,0.9302,0.9209,0.8639,0.8604,0.6223,0.402,0.3183,0.3708
4033,0.7876,0.9412,0.9503,0.8125,0.9251,0.9375,0.8926,0.8559,0.6619,0.4,0.367,0.4064
4034,0.774,0.9626,0.9578,0.8265,0.9117,0.9534,0.9118,0.8514,0.7145,0.4041,0.4106,0.4419
4035,0.7889,0.9782,0.974,0.8291,0.9125,0.9636,0.9294,0.885,0.7472,0.4222,0.4531,0.4854
4036,0.7984,0.9836,0.995,0.8286,0.9172,0.9821,0.9439,0.92,0.7872,0.4561,0.4864,0.5169
4037,0.8214,0.991,1,0.824,0.9321,0.9892,0.949,0.9628,0.7694,0.4969,0.5044,0.5243
4038,0.8254,0.9967,0.9901,0.8227,0.9397,0.9936,0.9541,0.9955,0.7563,0.5306,0.5014,0.529
4039,0.8268,0.9975,0.9702,0.8269,0.9416,0.9943,0.9481,1,0.7377,0.5265,0.4864,0.5318
4040,0.8227,0.9891,0.9677,0.821,0.9359,0.9923,0.9413,0.9876,0.7154,0.5153,0.4669,0.5243
4041,0.8248,0.9656,0.9578,0.8172,0.9283,0.9834,0.9294,0.9707,0.6862,0.5015,0.4384,0.5117
4042,0.8246,0.9422,0.9511,0.8082,0.9158,0.9658,0.93,0.9544,0.6517,0.4774,0.4055,0.4892
4043,0.8173,0.9445,0.9392,0.8108,0.9235,0.9579,0.9048,0.9212,0.5904,0.4449,0.3873,0.4641
4044,0.8126,0.9428,0.9255,0.8121,0.9216,0.9426,0.8878,0.8896,0.5691,0.3888,0.3633,0.4373
4045,0.8119,0.9471,0.9189,0.817,0.9168,0.9337,0.8639,0.8378,0.6097,0.351,0.3648,0.412
4046,0.8112,0.9571,0.9255,0.8223,0.911,0.9362,0.8639,0.8198,0.6509,0.351,0.3768,0.4195
4047,0.8214,0.9555,0.9445,0.8308,0.9034,0.9605,0.8912,0.8401,0.6915,0.3959,0.3971,0.4551
4048,0.8309,0.9546,0.9586,0.8453,0.9042,0.9783,0.9243,0.8885,0.734,0.4388,0.4192,0.4981
4049,0.8399,0.9716,0.9661,0.8565,0.9138,0.9888,0.9504,0.9341,0.7423,0.4914,0.4422,0.5343
4050,0.8484,0.9874,0.9694,0.8582,0.9245,0.9796,0.9592,0.9459,0.7447,0.5449,0.4665,0.5581
4051,0.8417,0.9857,0.9652,0.8523,0.9283,0.9681,0.9592,0.9499,0.7286,0.5796,0.4744,0.573
4052,0.8349,0.9622,0.9594,0.8447,0.9187,0.9477,0.9439,0.9296,0.7068,0.5592,0.4714,0.5702
4053,0.8417,0.9538,0.952,0.8388,0.9091,0.9247,0.9226,0.9155,0.689,0.5388,0.4579,0.5515
4054,0.839,0.942,0.9404,0.8371,0.8976,0.9158,0.9065,0.9032,0.6795,0.5061,0.4361,0.5281
4055,0.8363,0.9218,0.9321,0.8362,0.889,0.9152,0.8878,0.8919,0.6715,0.4745,0.4309,0.5206
4056,0.8322,0.9062,0.9255,0.8332,0.8855,0.9223,0.8806,0.8863,0.6661,0.4483,0.4366,0.5145
4057,0.8295,0.9252,0.9338,0.8281,0.8842,0.9292,0.8844,0.8837,0.6782,0.4327,0.4459,0.5262
4058,0.8261,0.9555,0.9437,0.8345,0.8852,0.9362,0.9031,0.8838,0.6782,0.4265,0.4474,0.5281
4059,0.8281,0.9656,0.9611,0.8405,0.8823,0.942,0.9065,0.8784,0.6676,0.4286,0.435,0.5318
4060,0.8336,0.9555,0.9727,0.8447,0.8766,0.9458,0.9184,0.8739,0.6516,0.4449,0.4192,0.5243
4061,0.8346,0.9374,0.9652,0.8438,0.8747,0.9391,0.9082,0.8626,0.633,0.4286,0.4053,0.5004
4062,0.8345,0.9109,0.9363,0.8417,0.878,0.9211,0.8946,0.8401,0.609,0.4245,0.3993,0.4819
4063,0.8337,0.8802,0.9199,0.8416,0.8808,0.9134,0.872,0.8226,0.613,0.3932,0.3955,0.455
4064,0.8339,0.9,0.9056,0.8379,0.8885,0.9082,0.881,0.8221,0.6383,0.3959,0.4083,0.4466
4065,0.8322,0.9235,0.8789,0.8299,0.8909,0.9056,0.8831,0.8288,0.6602,0.4,0.4098,0.4307
4066,0.8271,0.9218,0.8675,0.8168,0.8914,0.9094,0.895,0.839,0.6915,0.4204,0.4068,0.4223
4067,0.819,0.9067,0.8576,0.8032,0.8948,0.9241,0.9056,0.8514,0.7148,0.4469,0.4151,0.4298
4068,0.8119,0.868,0.8808,0.7888,0.8991,0.9503,0.9303,0.8592,0.6995,0.4694,0.4211,0.4448
4069,0.8065,0.8613,0.8974,0.7757,0.8967,0.9455,0.9226,0.8626,0.6749,0.4653,0.4203,0.4532
4070,0.8046,0.8636,0.9213,0.7665,0.8943,0.9306,0.9058,0.8584,0.6635,0.4492,0.4177,0.4596
4071,0.8058,0.8646,0.9106,0.7634,0.889,0.9152,0.8886,0.8446,0.6702,0.4367,0.4158,0.4672
4072,0.8072,0.8545,0.899,0.7668,0.884,0.9107,0.8759,0.8333,0.6782,0.4403,0.4324,0.4738
4073,0.8038,0.8478,0.8825,0.7724,0.8766,0.9056,0.8554,0.8311,0.6928,0.4531,0.4504,0.4738
4074,0.8001,0.8074,0.8659,0.7809,0.867,0.8954,0.8622,0.8401,0.6596,0.4658,0.4384,0.4654
4075,0.7997,0.7805,0.8411,0.7903,0.8584,0.8827,0.8401,0.8378,0.6423,0.449,0.4203,0.4551
4076,0.7994,0.7755,0.8195,0.799,0.8517,0.8622,0.8333,0.8333,0.6436,0.4163,0.4023,0.4443
4077,0.7989,0.7869,0.7904,0.8023,0.8384,0.8451,0.8257,0.82,0.6402,0.4047,0.3942,0.4356
