wavelength_A,normalized_intensity
4330.00,0.7469
4331.00,0.7628
4332.00,0.7776
4333.00,0.8015
4334.00,0.8327
4335.00,0.8327
4336.00,0.8054
4337.00,0.7510
4338.00,0.7235
4339.00,0.6857
4340.00,0.6694
4341.00,0.6449
4342.00,0.6673
4343.00,0.7094
4344.00,0.7378
4345.00,0.7689
4346.00,0.7878
4347.00,0.8041
4348.00,0.8224
4349.00,0.8163
4350.00,0.8088
4351.00,0.7612
4352.00,0.7403
4353.00,0.7184
4354.00,0.7184
4355.00,0.7503
4356.00,0.7598
4357.00,0.8039
4358.00,0.7939
4359.00,0.7898
4360.00,0.7857
4361.00,0.8143
4362.00,0.8510
4363.00,0.8857
4364.00,0.9200
4365.00,0.9306
4366.00,0.9143
4367.00,0.8898
4368.00,0.8571
4369.00,0.8163
4370.00,0.7918
4371.00,0.8051
4372.00,0.7837
4373.00,0.7714
4374.00,0.7429
4375.00,0.6939
4376.00,0.6939
4377.00,0.6694
4378.00,0.7551
4379.00,0.7510
4380.00,0.7347
4381.00,0.6776
4382.00,0.6082
4383.00,0.4939
4384.00,0.4490
4385.00,0.5009
4386.00,0.5480
4387.00,0.5709
4388.00,0.6036
4389.00,0.6168
4390.00,0.6531
4391.00,0.6724
4392.00,0.6876
4393.00,0.6980
4394.00,0.7143
4395.00,0.7429
4396.00,0.7918
4397.00,0.8327
4398.00,0.8204
4399.00,0.7775
4400.00,0.7490
4401.00,0.7194
4402.00,0.6837
4403.00,0.6633
4404.00,0.6122
4405.00,0.6122
4406.00,0.5831
4407.00,0.6265
4408.00,0.6327
4409.00,0.6735
4410.00,0.7245
4411.00,0.7714
4412.00,0.8000
4413.00,0.7947
4414.00,0.7796
4415.00,0.7551
4416.00,0.7143
4417.00,0.7265
4418.00,0.7714
4419.00,0.7755
4420.00,0.8235
4421.00,0.7694
4422.00,0.7653
4423.00,0.7551
4424.00,0.7694
4425.00,0.8000
4426.00,0.8089
4427.00,0.7927
4428.00,0.7952
4429.00,0.7913
4430.00,0.7875
4431.00,0.7786
4432.00,0.7742
4433.00,0.7663
4434.00,0.7471
4435.00,0.7296
4436.00,0.7592
4437.00,0.7735
4438.00,0.8163
4439.00,0.8714
4440.00,0.8755
4441.00,0.8157
4442.00,0.7735
4443.00,0.7673
4444.00,0.8204
4445.00,0.8571
4446.00,0.9082
4447.00,0.9122
4448.00,0.9096
4449.00,0.8898
4450.00,0.8796
4451.00,0.8816
4452.00,0.8735
4453.00,0.8571
4454.00,0.8204
4455.00,0.7844
4456.00,0.7571
4457.00,0.7459
4458.00,0.7362
4459.00,0.7217
4460.00,0.6959
4461.00,0.6939
4462.00,0.7109
4463.00,0.7469
4464.00,0.7653
4465.00,0.8102
4466.00,0.8327
4467.00,0.8531
4468.00,0.8531
4469.00,0.8421
4470.00,0.8265
4471.00,0.8316
4472.00,0.8551
4473.00,0.8653
4474.00,0.8857
4475.00,0.9143
4476.00,0.9573
4477.00,0.9633
4478.00,0.9551
4479.00,0.9306
4480.00,0.8735
4481.00,0.8490
4482.00,0.8653
4483.00,0.9142
4484.00,0.9755
4485.00,0.9878
4486.00,0.9796
4487.00,0.9714
4488.00,0.9633
4489.00,0.9265
4490.00,0.9191
4491.00,0.9010
4492.00,0.8898
4493.00,0.8939
4494.00,0.8776
4495.00,0.8735
4496.00,0.8760
4497.00,0.9257
4498.00,0.9745
4499.00,1.0000
4500.00,0.9796
