"wavelength_A","unknown1","unknown2","unknown3","unknown4","unknown5"
4086,0.77,0.5169,0.8624,0.6955,0.6832
4087,0.7681,0.5248,0.8836,0.6834,0.6908
4088,0.7595,0.5297,0.8867,0.6701,0.687
4089,0.7619,0.5175,0.8836,0.6383,0.6698
4090,0.7614,0.5083,0.8851,0.6102,0.6508
4091,0.7709,0.4938,0.8761,0.5796,0.6359
4092,0.7681,0.4844,0.8608,0.5459,0.6155
4093,0.7595,0.477,0.8434,0.5074,0.5901
4094,0.7357,0.462,0.8274,0.4703,0.5661
4095,0.712,0.4414,0.8161,0.4339,0.5365
4096,0.6825,0.4237,0.8001,0.4038,0.5143
4097,0.653,0.4054,0.7614,0.3698,0.4914
4098,0.6241,0.3914,0.7603,0.3491,0.4753
4099,0.5865,0.3742,0.6923,0.3136,0.4618
4100,0.5817,0.3728,0.6802,0.3018,0.4676
4101,0.5894,0.3838,0.668,0.3077,0.5
4102,0.6084,0.3985,0.6802,0.3077,0.5219
4103,0.6236,0.412,0.69,0.3166,0.541
4104,0.6568,0.4231,0.7386,0.3417,0.5515
4105,0.6903,0.432,0.7778,0.3722,0.5603
4106,0.7148,0.4378,0.8107,0.4083,0.5611
4107,0.7348,0.4378,0.8297,0.4442,0.5573
4108,0.74,0.4316,0.8312,0.4808,0.5611
4109,0.7462,0.4255,0.8396,0.5104,0.5477
4110,0.7552,0.4206,0.835,0.5503,0.5496
4111,0.759,0.4215,0.8457,0.5902,0.553
4112,0.7622,0.4243,0.8628,0.6191,0.5729
4113,0.7581,0.4264,0.8882,0.6413,0.5961
4114,0.7611,0.4332,0.8867,0.659,0.6011
4115,0.7712,0.4427,0.8851,0.6738,0.6021
4116,0.7729,0.451,0.8791,0.6879,0.5983
4117,0.7721,0.4611,0.8715,0.706,0.5949
4118,0.7657,0.469,0.8715,0.726,0.5844
4119,0.7572,0.4689,0.8769,0.7475,0.5784
4120,0.7659,0.4672,0.8859,0.7692,0.5782
4121,0.769,0.4684,0.8851,0.787,0.583
4122,0.7738,0.4831,0.8776,0.787,0.5935
4123,0.7757,0.5028,0.8738,0.7988,0.5973
4124,0.7771,0.515,0.8726,0.7988,0.6011
4125,0.7766,0.5199,0.8741,0.7959,0.5897
4126,0.7736,0.514,0.8722,0.7818,0.5763
4127,0.7747,0.4893,0.8669,0.784,0.5573
4128,0.7747,0.4684,0.8563,0.7788,0.5328
4129,0.7769,0.4316,0.8487,0.7818,0.5103
4130,0.775,0.4071,0.8366,0.7788,0.4801
4131,0.7734,0.3801,0.8183,0.7766,0.4656
4132,0.7695,0.3875,0.8138,0.7811,0.4685
4133,0.7726,0.3962,0.8145,0.7948,0.5049
4134,0.7671,0.4263,0.835,0.8343,0.5515
4135,0.7647,0.4459,0.8426,0.8402,0.5782
4136,0.7571,0.4598,0.8635,0.8388,0.5763
4137,0.751,0.4844,0.8836,0.8388,0.5916
4138,0.7519,0.5003,0.9102,0.8314,0.5878
4139,0.7529,0.4807,0.9231,0.8299,0.5611
4140,0.7532,0.453,0.9197,0.8413,0.4895
4141,0.743,0.3948,0.8715,0.8484,0.4466
4142,0.737,0.3728,0.8472,0.8543,0.4275
