Origin	MAIN_ID	OTYPE	RA	DEC	COO_ERR_MAJA	COO_ERR_MINA	COO_ERR_ANGLE	PMRA	PMDEC	B	V	R	J	H	K	SP_TYPE	GALDIM_MAJAXIS	GALDIM_MINAXIS	GALDIM_ANGLE	BIBLIST
Simbad	Cl* NGC 2682    FBC    2910	*inCl	08 51 02.37	+11 51 00.0	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    2911	*inCl	08 51 02.40	+11 48 53.2	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    2912	*inCl	08 51 02.45	+11 50 10.2	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    2914	*inCl	08 51 02.53	+11 55 21.8	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    2923	*inCl	08 51 02.87	+11 52 54.6	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    2933	*inCl	08 51 03.36	+11 47 10.8	300	300	6	 	 	19.1	 	18	16.582	16.076	15.783	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    2943	*inCl	08 51 03.60	+11 51 40.0	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    2945	*inCl	08 51 03.62	+11 46 55.3	210	210	104	 	 	 	 	 	16.571	15.947	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    2948	*inCl	08 51 03.75	+11 53 05.2	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    2949	*inCl	08 51 03.89	+11 51 39.0	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    2953	*inCl	08 51 03.96	+11 52 24.4	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    2965	*inCl	08 51 04.43	+11 50 47.6	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    2967	*inCl	08 51 04.50	+11 54 14.3	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    2969	*inCl	08 51 04.56	+11 41 49.0	300	300	6	 	 	 	 	 	15.33	14.777	14.522	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    2970	*inCl	08 51 04.56	+11 53 01.1	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    2975	*inCl	08 51 04.80	+11 40 12.5	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    2982	*inCl	08 51 05.25	+11 40 52.1	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    2984	*inCl	08 51 05.27	+11 55 18.0	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    2985	*inCl	08 51 05.28	+11 57 58.5	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    2992	*inCl	08 51 05.39	+11 47 06.7	300	300	6	 	 	 	 	 	15.31	14.739	14.678	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3003	*inCl	08 51 05.95	+11 53 47.2	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3008	*inCl	08 51 06.24	+11 38 12.1	300	300	6	 	 	 	 	 	17.039	16.221	15.664	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3011	*inCl	08 51 06.42	+11 54 18.5	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3014	*inCl	08 51 06.49	+11 47 30.3	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3015	*inCl	08 51 06.53	+11 41 33.8	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3023	*inCl	08 51 07.02	+11 41 48.9	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3028	*inCl	08 51 07.13	+11 58 36.7	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3047	*inCl	08 51 07.72	+11 45 07.8	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3049	*inCl	08 51 07.76	+11 37 42.2	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3054	*inCl	08 51 07.90	+11 37 24.8	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3055	*inCl	08 51 08.01	+11 45 15.6	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3057	*inCl	08 51 08.05	+11 49 55.6	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3061	*inCl	08 51 08.13	+11 45 46.3	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3064	*inCl	08 51 08.16	+11 37 23.5	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3066	*inCl	08 51 08.21	+11 48 42.2	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3069	*inCl	08 51 08.28	+11 55 35.5	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3070	*inCl	08 51 08.21	+11 57 03.8	290	260	177	 	 	 	 	 	16.906	16.045	15.919	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3081	*inCl	08 51 08.63	+11 43 59.0	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3082	*inCl	08 51 08.68	+11 43 59.2	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3090	*inCl	08 51 08.87	+11 50 27.1	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3096	*inCl	08 51 08.99	+11 39 36.6	290	260	12	 	 	 	 	 	16.809	16.205	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3098	*inCl	08 51 09.20	+11 38 46.9	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3100	*inCl	08 51 09.27	+11 53 13.9	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3103	*inCl	08 51 09.32	+11 53 38.9	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3107	*inCl	08 51 09.50	+11 39 44.1	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3115	*inCl	08 51 09.84	+11 49 45.9	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3116	*inCl	08 51 09.97	+11 37 26.8	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3118	*inCl	08 51 09.98	+11 46 16.7	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3122	*inCl	08 51 10.17	+11 48 33.7	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3124	*inCl	08 51 10.20	+11 53 25.5	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3126	*inCl	08 51 10.32	+11 38 50.0	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3128	*inCl	08 51 10.38	+11 43 49.3	300	300	6	 	 	19.3	 	18.2	16.286	15.553	15.463	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3130	*inCl	08 51 10.40	+11 45 08.3	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3131	*inCl	08 51 10.45	+11 40 03.3	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3133	*inCl	08 51 10.54	+11 40 22.1	300	300	6	 	 	 	 	 	16.635	 	 	 	 	 	 	1
