No	Ref	B	V
1084	3	8.443	8.09
1084	25	8.47	8.11
1084	244	8.5	8.14
1084	457	8.503	8.14
1084	1042	8.46	8.11
1084	1044	8.53	8.16
1088	496	13.91	13.07
1095	25	12.8	11.92
1095	144	12.75	11.83
1100	25	13.31	12.16
1100	132	13.35	12.25
1100	1051	13.3	12.13
1101	25	10.87	10.26
1101	144	10.86	10.25
1101	345	10.9	10.29
1103	132	16.25	14.77
1110	132	14.48	13.29
1110	1043	14.64	13.41
1114	124	15.46	14.08
1114	132	15.49	14.1
1114	442	15.52	14.1
1117	3	10.924	10.2
1117	25	10.93	10.2
1117	457	10.933	10.2
1117	496	10.93	10.22
1122	3	9.737	9.28
1122	25	9.75	9.29
1122	909	9.807	9.337
1124	25	13.04	12.12
1124	132	13.3	12.32
1132	25	9.91	9.42
1136	25	13.01	12.02
1136	132	13.18	12.18
1139	25	9.86	9.38
1163	496	13.92	13.14
1173	124	16.72	15.21
1173	132	16.6	15.11
1173	304	16.65	15.13
1173	312	16.66	15.1
1173	442	16.71	15.23
1182	25	11.1	10.46
1184	345	10.96	10.62
1200	25	10.44	9.9
1207	25	11.09	10.47
1207	144	11.15	10.51
1215	3	11.158	10.52
1215	25	11.17	10.52
1215	132	11.17	10.55
1220	25	12.62	11.74
1234	3	6.825	6.8
1234	25	6.84	6.82
1234	50	6.841	6.82
1234	457	6.843	6.83
1266	25	8.64	8.28
1266	345	8.68	8.3
1275	25	12.31	11.47
1275	312	12.28	11.45
1280	124	15.92	14.55
1280	442	15.93	14.58
1284	3	8.674	8.38
1284	25	8.67	8.37
1284	457	8.663	8.37
1286	132	17.03	15.35
1286	304	17.02	15.34
1298	25	13.2	12.18
1298	132	13.33	12.33
1305	25	14.64	13.46
1305	132	14.71	13.52
1305	304	14.84	13.65
1305	312	14.75	13.55
1306	25	14.74	13.39
1306	124	14.855	13.505
1306	132	14.71	13.4
1306	304	14.76	13.45
1306	1043	14.7	13.36
1309	3	9.908	9.44
1309	25	9.93	9.46
1309	909	9.953	9.476
1321	124	16.89	15.33
1321	132	16.67	15.22
1321	304	16.72	15.27
1321	312	16.69	15.22
1321	442	16.88	15.25
1331	345	10.25	9
1332	25	13.45	12.41
1332	132	13.55	12.53
1332	1043	13.5	12.46
1338	25	9.15	8.69
1348	25	13.79	12.61
1348	132	13.85	12.7
1348	304	13.9	12.75
1348	1043	13.81	12.64
1355	25	15.2	13.97
1355	132	15.42	14.02
1355	304	15.47	14.07
1357	186	7.5	7
1362	25	8.51	8.25
1375	25	6.31	6.29
1380	3	7.01	6.98
1380	25	7.02	6.99
1384	3	7.846	7.64
1384	25	7.87	7.66
1384	186	7.9	7.68
1391	496	11.55	10.94
1397	3	7.295	7.26
1397	25	7.31	7.26
1397	1044	7.31	7.24
1404	186	8.91	8.73
1407	25	8.38	8.13
1420	496	11.82	10.44
1425	3	7.913	7.76
1425	25	7.92	7.77
1425	457	7.915	7.75
1431	3	6.863	6.8
1431	25	6.87	6.81
1431	909	6.897	6.831
1431	1044	6.9	6.83
1432	3	2.77	2.86
1432	25	2.78	2.87
1432	29	2.77	2.86
1432	457	2.78	2.87
1432	871	2.81	2.9
1432	1091	2.78	2.87
1432	1136	-0.064	
1432	1281	2.8	2.87
1440	25	16.65	15.64
1454	25	13.94	12.78
1454	132	13.94	12.86
1454	359	14	12.88
1454	1043	13.99	12.87
1485	124	15.58	14.23
1485	132	15.53	14.21
1485	442	15.62	14.23
1491	25	17.02	16.42
1498	3	8.92	7.68
1498	25	8.95	7.72
1498	457	8.955	7.73
1512	25	14.87	13.5
1512	132	14.77	13.51
1514	25	11.12	10.48
1514	144	11.19	10.53
1514	909	11.222	10.558
1514	1044	11.14	10.48
1516	25	15.33	14.02
1516	124	15.14	13.87
1516	132	15.31	13.97
1516	909	14.033	13.67
1531	25	14.45	13.3
1531	1043	14.63	13.41
1532	25	15.21	13.95
1532	124	15.19	13.9
1532	132	15.26	13.99
1532	2032	15.22	13.92
1549	3	9.94	8.77
1549	25	9.94	8.79
1549	50	9.95	8.8
1549	457	9.928	8.78
1553	25	13.28	12.22
1553	132	13.58	12.49
1553	1051	13.48	12.35
1553	1051	13.48	12.35
1593	25	11.87	11.12
1593	124	11.87	11.11
1593	144	11.92	11.15
1613	3	10.4	9.86
1613	25	10.42	9.88
1628	25	14.26	13.45
1630	345	11.77	10.51
1645	25	12.04	11.33
1653	124	14.75	13.55
1653	132	14.71	13.5
1653	271	14.84	13.61
1653	304	14.7	13.49
1653	1043	14.97	13.69
1653	2032	14.53	13.34
1705	3	8.132	6.43
1705	25	8.16	6.46
1705	50	8.161	6.46
1705	457	8.143	6.44
1712	25	15.37	14.36
1726	3	9.788	9.24
1726	25	9.8	9.25
1726	457	9.794	9.28
1726	1387	9.83	9.29
1756	124	15.48	14.11
1756	132	15.47	14.1
1756	442	15.57	14.2
1762	3	8.611	8.25
1762	25	8.63	8.27
1766	3	9.59	9.12
1766	25	9.6	9.13
1766	345	9.62	9.15
1776	25	11.63	10.91
1776	132	11.66	10.94
1776	345	11.67	10.95
1776	1044	11.61	10.88
1785	124	15.69	14.29
1785	442	16.08	14.54
1794	25	11	10.36
1794	144	11.02	10.4
1797	3	10.648	10.09
1797	25	10.67	10.11
1823	3	5.368	5.44
1823	25	5.38	5.45
1823	1091	5.38	5.45
1823	1137	5.37	5.44
1823	1138	5.38	5.43
1827	132	16.34	14.87
1829	345	9.34	8.52
1856	3	10.576	10.02
1856	25	10.58	10.02
1876	3	7.065	6.94
1876	25	7.07	6.95
1883	25	13.66	12.6
1883	132	13.69	12.66
1883	1051	13.71	12.64
1883	1051	13.71	12.64
1912	25	9.54	9.05
1924	3	10.954	10.34
1924	25	10.95	10.33
1924	144	10.94	10.33
1993	3	8.644	8.36
1993	25	8.66	8.37
1993	1044	8.65	8.39
2016	25	14.74	13.52
2016	132	14.77	13.55
2016	304	14.83	13.61
2027	25	11.77	10.91
2027	132	11.8	10.94
2027	144	11.77	10.92
2027	312	11.74	10.89
2034	25	13.56	12.57
2034	132	13.61	12.65
2034	1051	13.55	12.51
2034	1051	13.55	12.51
2082	25	15.31	13.98
2082	132	15.26	13.91
2082	304	15.32	13.97
2087	186	6.89	6.47
2106	25	12.39	11.53
2106	144	12.41	11.54
2126	25	12.5	11.64
2126	132	12.56	11.71
2144	132	16.76	15.31
2147	25	11.63	10.83
2147	1044	11.69	10.87
2168	3	3.535	3.62
2168	25	3.56	3.64
2168	230	3.54	3.62
2168	871	3.555	3.65
2168	1091	3.53	3.62
2168	1136	-0.075	
2172	25	11.06	10.44
2172	144	11.06	10.44
2181	3	5.002	5.08
2181	25	5.01	5.09
2181	230	4.92	5
2181	574	4.98	5.06
2181	1062	5.22	5.255
2181	1091	5.01	5.09
2181	1123	5.14	5.16
2193	132	15.6	14.23
2193	1051	15.65	14.18
2193	1051	15.65	14.18
2195	3	8.33	8.11
2195	25	8.34	8.12
2199	25	15.44	14.31
2199	1043	15.46	14.38
2208	124	15.79	14.42
2208	132	15.78	14.42
2208	304	15.82	14.46
2208	442	16.06	14.59
2209	25	15.85	14.38
2209	132	15.85	14.48
2220	3	7.607	7.51
2220	25	7.62	7.52
2244	25	13.71	12.67
2244	132	13.57	12.58
2244	304	13.62	12.63
2244	2032	13.6	12.57
2263	3	6.562	6.59
2263	25	6.57	6.6
2263	566	6.59	6.62
2278	25	11.69	10.83
2278	132	11.83	10.96
2278	312	11.8	10.92
2284	25	12.13	11.35
2287	25	16.87	15.72
2289	3	8.135	7.96
2289	25	8.15	7.97
2311	25	12.19	11.36
2311	312	12.17	11.35
2341	25	11.58	10.87
2341	144	11.65	10.93
2345	3	9.514	9.08
2345	25	9.54	9.1
2366	25	12.35	11.53
2366	144	12.31	11.49
2368	1051	15.36	14.02
2406	25	11.86	11.1
2407	25	13.39	12.29
2407	132	13.14	12.19
2407	1043	13.26	12.28
2411	304	15.83	14.19
2411	1043	15.77	14.18
2415	25	8.32	8.1
2425	3	6.108	6.16
2425	25	6.12	6.17
2425	1091	6.12	6.17
2462	25	12.38	11.55
2462	312	12.33	11.49
2484	3	9.302	9.14
2484	25	9.32	9.16
2484	50	9.339	9.17
2484	487	9.323	9.159
2488	3	7.607	7.53
2488	25	7.62	7.54
2506	25	10.83	10.23
2507	25	6.8	6.74
2548	132	15.35	14.02
2548	271	15.39	14.04
2588	25	14.32	13.1
2588	124	14.41	13.25
2588	132	14.54	13.36
2588	271	14.39	13.22
2591	1051	14.512	13.279
2601	132	16.54	15.01
2601	304	16.46	14.96
2601	312	16.55	14.97
